Table,Column,column_id,max_length,Precision,Collation Name,is_nullable
BPA_BRGR_RUL_GRP_R,BRGU_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_BRGR_RUL_GRP_R,RLGD_GU_ID,2,36,0,Latin1_General_BIN,0
BPA_BRGR_RUL_GRP_R,BRGR_LOCK_TOKEN,3,2,5,NULL,0
BPA_BRGR_RUL_GRP_R,ATXR_SOURCE_ID,4,8,23,NULL,0
BPA_BRGR_RUL_GRP_R,SYS_LAST_UPD_DTM,5,8,23,NULL,1
BPA_BRGR_RUL_GRP_R,SYS_USUS_ID,6,48,0,Latin1_General_BIN,1
BPA_BRGR_RUL_GRP_R,SYS_DBUSER_ID,7,48,0,Latin1_General_BIN,1
BPA_BRGU_RUL_GRP_U,BRGU_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_BRGU_RUL_GRP_U,RLTD_RULE_TYPE,2,4,0,Latin1_General_BIN,0
BPA_BRGU_RUL_GRP_U,BPTD_BUS_PCS_TYPE,3,4,0,Latin1_General_BIN,0
BPA_BRGU_RUL_GRP_U,BRGU_EFF_DT,4,8,23,NULL,0
BPA_BRGU_RUL_GRP_U,BRGU_TERM_DT,5,8,23,NULL,0
BPA_BRGU_RUL_GRP_U,BRGU_USAGE_ID,6,18,0,Latin1_General_BIN,0
BPA_BRGU_RUL_GRP_U,BRGU_LOCK_TOKEN,7,2,5,NULL,0
BPA_BRGU_RUL_GRP_U,ATXR_SOURCE_ID,8,8,23,NULL,0
BPA_BRGU_RUL_GRP_U,SYS_LAST_UPD_DTM,9,8,23,NULL,1
BPA_BRGU_RUL_GRP_U,SYS_USUS_ID,10,48,0,Latin1_General_BIN,1
BPA_BRGU_RUL_GRP_U,SYS_DBUSER_ID,11,48,0,Latin1_General_BIN,1
BPA_DPSC_SVC_CAT_A,DOFR_ID,1,12,0,Latin1_General_BIN,0
BPA_DPSC_SVC_CAT_A,QLTD_QUAL_TYPE,2,4,0,Latin1_General_BIN,0
BPA_DPSC_SVC_CAT_A,DFSC_ID,3,8,0,Latin1_General_BIN,0
BPA_DPSC_SVC_CAT_A,DPSC_SECTION,4,2,5,NULL,0
BPA_DPSC_SVC_CAT_A,RLBP_GU_ID,5,36,0,Latin1_General_BIN,0
BPA_DPSC_SVC_CAT_A,DPSC_LOCK_TOKEN,6,2,5,NULL,0
BPA_DPSC_SVC_CAT_A,ATXR_SOURCE_ID,7,8,23,NULL,0
BPA_DPSC_SVC_CAT_A,SYS_LAST_UPD_DTM,8,8,23,NULL,1
BPA_DPSC_SVC_CAT_A,SYS_USUS_ID,9,48,0,Latin1_General_BIN,1
BPA_DPSC_SVC_CAT_A,SYS_DBUSER_ID,10,48,0,Latin1_General_BIN,1
BPA_DSCR_COND_R,DFSC_ID,1,8,0,Latin1_General_BIN,0
BPA_DSCR_COND_R,QLCD_GU_ID,2,36,0,Latin1_General_BIN,0
BPA_DSCR_COND_R,QLTD_QUAL_TYPE,3,4,0,Latin1_General_BIN,0
BPA_DSCR_COND_R,DSCR_LOCK_TOKEN,4,2,5,NULL,0
BPA_DSCR_COND_R,ATXR_SOURCE_ID,5,8,23,NULL,0
BPA_DSCR_COND_R,SYS_LAST_UPD_DTM,6,8,23,NULL,1
BPA_DSCR_COND_R,SYS_USUS_ID,7,48,0,Latin1_General_BIN,1
BPA_DSCR_COND_R,SYS_DBUSER_ID,8,48,0,Latin1_General_BIN,1
BPA_DSRM_SVC_MAP_D,RLBP_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_SEQ_NO,2,2,5,NULL,0
BPA_DSRM_SVC_MAP_D,DOFR_ID,3,12,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DFSC_ID,4,8,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_PRCS_SEQ,5,2,5,NULL,0
BPA_DSRM_SVC_MAP_D,DSRM_CL_DELG_IND,6,1,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_CL_DELG_ID,7,12,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_CL_EXCD,8,4,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_UM_DELG_IND,9,1,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_UM_DELG_ID,10,12,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_RSK_DELG_IND,11,1,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_RSK_DELG_ID,12,12,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_REIMB_IND,13,1,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_CRFD_FUND_ID,14,4,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_PRIORITY_IND,15,1,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,QLCD_GU_ID,16,36,0,Latin1_General_BIN,0
BPA_DSRM_SVC_MAP_D,DSRM_LOCK_TOKEN,17,2,5,NULL,0
BPA_DSRM_SVC_MAP_D,ATXR_SOURCE_ID,18,8,23,NULL,0
BPA_DSRM_SVC_MAP_D,SYS_LAST_UPD_DTM,19,8,23,NULL,1
BPA_DSRM_SVC_MAP_D,SYS_USUS_ID,20,48,0,Latin1_General_BIN,1
BPA_DSRM_SVC_MAP_D,SYS_DBUSER_ID,21,48,0,Latin1_General_BIN,1
BPA_QGRL_REL_R,QLCD_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_QGRL_REL_R,QLGR_GU_ID,2,36,0,Latin1_General_BIN,0
BPA_QGRL_REL_R,QGRL_LOCK_TOKEN,3,2,5,NULL,0
BPA_QGRL_REL_R,ATXR_SOURCE_ID,4,8,23,NULL,0
BPA_QGRL_REL_R,SYS_LAST_UPD_DTM,5,8,23,NULL,1
BPA_QGRL_REL_R,SYS_USUS_ID,6,48,0,Latin1_General_BIN,1
BPA_QGRL_REL_R,SYS_DBUSER_ID,7,48,0,Latin1_General_BIN,1
BPA_QLCD_COND_D,QLCD_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_QLCD_COND_D,QLCD_DESC,2,70,0,Latin1_General_BIN,0
BPA_QLCD_COND_D,QLCD_EFF_DT,3,8,23,NULL,0
BPA_QLCD_COND_D,QLCD_TERM_DT,4,8,23,NULL,0
BPA_QLCD_COND_D,QLCD_LOCK_TOKEN,5,2,5,NULL,0
BPA_QLCD_COND_D,ATXR_SOURCE_ID,6,8,23,NULL,0
BPA_QLCD_COND_D,SYS_LAST_UPD_DTM,7,8,23,NULL,1
BPA_QLCD_COND_D,SYS_USUS_ID,8,48,0,Latin1_General_BIN,1
BPA_QLCD_COND_D,SYS_DBUSER_ID,9,48,0,Latin1_General_BIN,1
BPA_QLDF_QUAL_D,QLDF_ID,1,8,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,QLDF_METHOD,2,50,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,QLTD_QUAL_TYPE,3,4,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,QLDF_ENTRY_TYPE,4,4,10,NULL,0
BPA_QLDF_QUAL_D,QLDF_DATA_TYPE,5,8,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,QLDF_DEFAULT_VAL,6,18,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,QLDF_PARM_STYLE,7,1,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,APMD_ID,8,8,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,MCTR_ENTITY,9,4,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,MCTR_TYPE,10,4,0,Latin1_General_BIN,0
BPA_QLDF_QUAL_D,QLDF_LOCK_TOKEN,11,2,5,NULL,0
BPA_QLDF_QUAL_D,ATXR_SOURCE_ID,12,8,23,NULL,0
BPA_QLDF_QUAL_D,SYS_LAST_UPD_DTM,13,8,23,NULL,1
BPA_QLDF_QUAL_D,SYS_USUS_ID,14,48,0,Latin1_General_BIN,1
BPA_QLDF_QUAL_D,SYS_DBUSER_ID,15,48,0,Latin1_General_BIN,1
BPA_QLDP_PARM_D,QLDF_ID,1,8,0,Latin1_General_BIN,0
BPA_QLDP_PARM_D,QLDP_SEQ_NO,2,2,5,NULL,0
BPA_QLDP_PARM_D,QLDP_DATA_TAG,3,18,0,Latin1_General_BIN,0
BPA_QLDP_PARM_D,QLDP_COLL_IND,4,1,0,Latin1_General_BIN,0
BPA_QLDP_PARM_D,QLDP_COLL_NAME,5,18,0,Latin1_General_BIN,0
BPA_QLDP_PARM_D,QLDP_REC_NAME,6,18,0,Latin1_General_BIN,0
BPA_QLDP_PARM_D,QLDP_LOCK_TOKEN,7,2,5,NULL,0
BPA_QLDP_PARM_D,ATXR_SOURCE_ID,8,8,23,NULL,0
BPA_QLDP_PARM_D,SYS_LAST_UPD_DTM,9,8,23,NULL,1
BPA_QLDP_PARM_D,SYS_USUS_ID,10,48,0,Latin1_General_BIN,1
BPA_QLDP_PARM_D,SYS_DBUSER_ID,11,48,0,Latin1_General_BIN,1
BPA_QLGR_QGRP_D,QLGR_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_QLGR_QGRP_D,QLGR_GRP_DESC,2,50,0,Latin1_General_BIN,0
BPA_QLGR_QGRP_D,RLTD_RULE_TYPE,3,4,0,Latin1_General_BIN,0
BPA_QLGR_QGRP_D,QLTD_QUAL_TYPE,4,4,0,Latin1_General_BIN,0
BPA_QLGR_QGRP_D,QLGR_EFF_DT,5,8,23,NULL,0
BPA_QLGR_QGRP_D,QLGR_TERM_DT,6,8,23,NULL,0
BPA_QLGR_QGRP_D,QLGR_AND_OR_IND,7,1,0,Latin1_General_BIN,0
BPA_QLGR_QGRP_D,QLGR_SAME_LINE_IND,8,1,0,Latin1_General_BIN,0
BPA_QLGR_QGRP_D,QLGR_LOCK_TOKEN,9,2,5,NULL,0
BPA_QLGR_QGRP_D,ATXR_SOURCE_ID,10,8,23,NULL,0
BPA_QLGR_QGRP_D,SYS_LAST_UPD_DTM,11,8,23,NULL,1
BPA_QLGR_QGRP_D,SYS_USUS_ID,12,48,0,Latin1_General_BIN,1
BPA_QLGR_QGRP_D,SYS_DBUSER_ID,13,48,0,Latin1_General_BIN,1
BPA_QLGV_VALUE_U,QLGR_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_QLGV_VALUE_U,QLGV_SEQ_NO,2,2,5,NULL,0
BPA_QLGV_VALUE_U,QLDF_ID,3,8,0,Latin1_General_BIN,0
BPA_QLGV_VALUE_U,QLGV_EFF_DT,4,8,23,NULL,0
BPA_QLGV_VALUE_U,QLGV_TERM_DT,5,8,23,NULL,0
BPA_QLGV_VALUE_U,QLGV_OPERAND_TYPE,6,2,5,NULL,0
BPA_QLGV_VALUE_U,QLGV_CODE_TP_LOW,7,50,0,Latin1_General_BIN,0
BPA_QLGV_VALUE_U,QLGV_CODE_TP_HIGH,8,50,0,Latin1_General_BIN,0
BPA_QLGV_VALUE_U,QLGV_DISPLAY_LOW,9,50,0,Latin1_General_BIN,0
BPA_QLGV_VALUE_U,QLGV_DISPLAY_HIGH,10,50,0,Latin1_General_BIN,0
BPA_QLGV_VALUE_U,QLGV_LOCK_TOKEN,11,2,5,NULL,0
BPA_QLGV_VALUE_U,ATXR_SOURCE_ID,12,8,23,NULL,0
BPA_QLGV_VALUE_U,SYS_LAST_UPD_DTM,13,8,23,NULL,1
BPA_QLGV_VALUE_U,SYS_USUS_ID,14,48,0,Latin1_General_BIN,1
BPA_QLGV_VALUE_U,SYS_DBUSER_ID,15,48,0,Latin1_General_BIN,1
BPA_QLTD_QTYP_D,QLTD_QUAL_TYPE,1,4,0,Latin1_General_BIN,0
BPA_QLTD_QTYP_D,QLTD_DESC,2,70,0,Latin1_General_BIN,0
BPA_QLTD_QTYP_D,APMD_ID,3,8,0,Latin1_General_BIN,0
BPA_QLTD_QTYP_D,QLTD_LOCK_TOKEN,4,2,5,NULL,0
BPA_QLTD_QTYP_D,ATXR_SOURCE_ID,5,8,23,NULL,0
BPA_QLTD_QTYP_D,SYS_LAST_UPD_DTM,6,8,23,NULL,1
BPA_QLTD_QTYP_D,SYS_USUS_ID,7,48,0,Latin1_General_BIN,1
BPA_QLTD_QTYP_D,SYS_DBUSER_ID,8,48,0,Latin1_General_BIN,1
BPA_RLBP_BP_RULE_D,RLBP_GU_ID,1,36,0,Latin1_General_BIN,0
BPA_RLBP_BP_RULE_D,RLTD_RULE_TYPE,2,4,0,Latin1_General_BIN,0
BPA_RLBP_BP_RULE_D,RLBP_DESC,3,70,0,Latin1_General_BIN,0
BPA_RLBP_BP_RULE_D,RLBP_EFF_DT,4,8,23,NULL,0
BPA_RLBP_BP_RULE_D,RLBP_TERM_DT,5,8,23,NULL,0
BPA_RLBP_BP_RULE_D,RLBP_SECTION,6,2,5,NULL,0
BPA_RLBP_BP_RULE_D,RLBP_SEQ_NO,7,2,5,NULL,0
BPA_RLBP_BP_RULE_D,RLBP_LEVEL,8,2,5,NULL,0
BPA_RLBP_BP_RULE_D,QLCD_GU_ID,9,36,0,Latin1_General_BIN,0
BPA_RLBP_BP_RULE_D,RLBP_ACT_VAL,10,1,0,Latin1_General_BIN,0
BPA_RLBP_BP_RULE_D,RLBP_MCTR_REAS,11,4,0,Latin1_General_BIN,0
BPA_RLBP_BP_RULE_D,RLBP_LOCK_TOKEN,12,2,5,NULL,0
BPA_RLBP_BP_RULE_D,ATXR_SOURCE_ID,13,8,23,NULL,0
